※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/1/8,1:00,3225,0,3011,488,,113,0,0,7,0,0,-393
2023/1/8,2:00,3392,0,3102,526,,112,0,0,7,0,0,-355
2023/1/8,3:00,3490,0,3092,607,,113,0,0,7,0,0,-329
2023/1/8,4:00,3433,0,3000,572,,113,0,0,8,0,0,-259
2023/1/8,5:00,3237,0,2949,436,,112,0,0,7,0,0,-268
2023/1/8,6:00,3060,0,2952,411,,113,0,0,6,0,0,-422
2023/1/8,7:00,2970,0,2987,554,,112,23,0,6,0,0,-711
2023/1/8,8:00,3053,0,3021,577,,112,118,0,6,0,0,-781
2023/1/8,9:00,3082,0,2710,415,,112,277,0,2,0,0,-434
2023/1/8,10:00,2991,0,2335,366,,112,429,0,0,0,0,-250
2023/1/8,11:00,2898,0,2220,368,,111,491,0,0,0,0,-293
2023/1/8,12:00,2839,0,2283,346,,112,483,0,0,0,-116,-268
2023/1/8,13:00,2780,0,2190,346,,112,469,0,0,0,-118,-219
2023/1/8,14:00,2740,0,2266,370,,112,353,0,0,0,-59,-302
2023/1/8,15:00,2783,0,2546,471,,112,165,0,1,0,0,-512
2023/1/8,16:00,2905,0,2706,474,,112,30,0,4,0,3,-424
2023/1/8,17:00,3142,0,2911,596,,112,0,0,7,0,100,-584
2023/1/8,18:00,3194,0,2951,759,,113,0,0,6,0,99,-733
2023/1/8,19:00,3157,0,2942,798,,112,0,0,5,0,99,-800
2023/1/8,20:00,3100,0,2911,668,,112,0,0,3,0,9,-603
2023/1/8,21:00,3017,0,2923,596,,112,0,0,9,0,0,-623
2023/1/8,22:00,2993,0,2915,501,,112,0,0,20,0,0,-555
2023/1/8,23:00,2992,0,2808,399,,112,0,0,41,0,0,-367
2023/1/9,0:00,2932,0,2728,326,,112,0,0,54,0,0,-289
2023/1/9,1:00,3033,0,2830,328,,112,0,0,48,0,0,-286
2023/1/9,2:00,3225,0,2884,425,,112,0,0,67,0,0,-262
2023/1/9,3:00,3373,0,2910,542,,113,0,0,68,0,0,-260
2023/1/9,4:00,3360,0,2881,529,,112,0,0,61,0,0,-224
2023/1/9,5:00,3255,0,3108,498,,114,0,0,49,0,0,-513
2023/1/9,6:00,3131,0,3128,471,,113,0,0,67,0,0,-647
2023/1/9,7:00,3134,0,3130,712,,112,25,0,65,0,0,-910
2023/1/9,8:00,3302,0,3128,529,,112,128,0,77,0,0,-671
2023/1/9,9:00,3490,0,3020,359,,113,173,0,70,0,0,-245
2023/1/9,10:00,3478,0,2689,353,,113,240,0,71,0,0,13
2023/1/9,11:00,3475,0,2673,347,,113,172,0,73,0,0,98
2023/1/9,12:00,3395,0,2749,341,,113,129,0,77,0,-116,103
